1, 'Sucker', Jonas Brothers
2, '7 Rings', Ariana Grande
3, 'Please Me', Cardi B & Bruno Mars
4, 'Sunflower (Spider-Man: Into The Spider-Verse)', Post Malone & Swae Lee
5, 'Without Me', Halsey
6, 'Shallow', Lady Gaga & Bradley Cooper
7, 'Wow,Post Malone
8, 'Happier', Marshmello & Bastille
9, 'Middle Child', J Cole
10, 'Sicko Mode', Travis Scott
11," 'Thank U, Next’", Ariana Grande
12, 'High Hopes', Panic! At The Disco
13, 'Thotiana', Blueface
14, 'Eastside'," benny blanco,  Halsey & Khalid "
15," 'Break Up With Your Girlfriend, I’m bored’", Ariana Grande
16, 'Going Bad', Meek Mill Featuring Drake
17, 'Murder On My Mind', YNW Melly
18, 'A Lot', 21 Savage
19, 'Girls Like You', Maroon 5 Featuring Cardi B
20, 'Dancing With A Stranger', Sam Smith & Normani
21, 'Better', Khalid
22, 'Drip Too Hard', Lil Ba  & Gunna
23, 'Money', Cardi B
24, 'Sweet But Psycho', Ava Max
25, 'Beautiful Crazy', Luke Combs
26, 'Be Alright', Dean Lewis
27, 'MIA', Bad Bunny Featuring Drake
28, 'ZEZE', Kodak Black Featuring Travis Scott & Offset
29, 'Better Now', Post Malone
30, 'Youngblood', 5 Seconds Of Summer
31, 'Close To Me', Ellie Goulding X Diplo Featuring Swae Lee
32, 'You Say', Lauren Daigle
33, 'Tequila', Dan + Shay
34, 'Robbery', Juice WRLD
35, 'Look Back At It', A Boogie Wit da Hoodie
36, 'Lucid Dreams', Juice WRLD
37, 'Girls Need Love', Summer Walker X Drake
38, 'Baby Shark’, Pinkfong
39, 'I', Lil Skies
40, 'Envy Me', Calboy
41, 'I Like It'," Cardi B,  Bad Bunny & J Balvin "
42, 'Bury A Friend', Billie Eilish
43, 'Taki Taki'," DJ Snake Featuring Selena Gomez,  Ozuna & Cardi B "
44, 'Wake Up In The Sky', Gucci Mane X Bruno Mars X Kodak Black
45, 'Leave Me Alone', Flipp Dinero
46, 'Twerk', City Girls Featuring Cardi B
47, 'Mo Bamba', Sheck Wes
48, 'Swervin', A Boogie Wit da Hoodie Featuring 6ix9ine
49, 'Talk', Khalid
50, 'Mixed Personalities', YNW Melly Featuring Kanye West
51, 'Pure Water', Mustard & Migos
52, 'Look What God Gave Her', Thomas Rhett
53, 'This Is It', Scotty McCreery
54, 'Take It From Me', Jordan Davis
55, 'Millionaire', Chris Stapleton
56, 'Hear Me Calling', Juice WRLD
57, 'Con Calma', Daddy Yankee Featuring Snow
58, 'Undecided', Chris Brown
59, 'Close Friends', Lil Ba
60, 'Who Do You Love', The Chainsmokers Featuring 5 Seconds Of Summer
61, 'Girl Like You', Jason Aldean
62, 'Here Tonight', Brett Young
63, 'Burn Out', Midland
64, 'Always Remember Us This Way', Lady Gaga
65, 'Worth It', YK Osiris
66, 'What Makes You Country', Luke Bryan
67, 'Ella Quiere Beber', Anuel AA & Romeo Santos
68, 'Shot Clock', Ella Mai
69, 'Down To The Honkytonk', Jake Owen
70, 'Eyes On You', Chase Rice
71, 'There Was This Girl', Riley Green
72, 'Bad Liar', Imagine Dragons
73, 'Red Room', Offset
74, 'Wish You Were Gay', Billie Eilish
75, 'Whip', 2 Chainz Featuring Travis Scott
76, 'Make It Sweet', Old Dominion
77, 'Act Up', City Girls
78, 'Good As You', Kane Brown
79, 'Nights Like This', Kehlani Featuring Ty Dolla $ign
80, 'Calling My Spirit', Kodak Black
81, 'Miss Me More', Kelsea Ballerini
82, 'Armed And Dangerous', Juice WRLD
83, 'Old Town Road', Lil Nas X
84, 'Secreto', Anuel AA & Karol G
85, 'Whiskey Glasses', Morgan Wallen
86, 'Night Shift', Jon Pardi
87, 'Faucet Failure', Ski Mask The Slump God
88, 'Walk Me Home', P!nk
89, 'One That Got Away', Michael Ray
90, 'Put A Date On It', Yo Gotti Featuring Lil Ba
91, 'Lovely', Billie Eilish & Khalid
92, 'Needy', Ariana Grande
93, 'I Can't Get Enough'," benny blanco,  Tainy  Selena Gomez & J Balvin"
94, 'Rule The World', 2 Chainz Featuring Ariana Grande
95, 'When The Party's Over', Billie Eilish
96, 'Love Someone', Lukas Graham
97, 'Talk You Out Of It', Florida Georgia Line
98, 'Love Wins', Carrie Underwood
99, 'On My Way To You', Cody Johnson
100, 'Momma I Hit A Lick', 2 Chainz Featuring Kendrick Lamar
